kab_kota,npsn,nama_sekolah,status,jumlah_siswa,alamat,jumlah_rombel,jumlah_ruang_kelas,rusak_sedang,rusak_berat
Kab. Asahan,10204785,SLB Negeri Asahan,Negeri,93,Kec. Kisaran Timur,32,10,0,0
Kab. Asahan,69984997,SLB SWASTA DAARUS SALAM ASAHAN,Swasta,78,Kec. Kisaran Timur,22,3,2,0
Kab. Asahan,69959064,SEKOLAH LUAR BIASA (SLB) SWASTA OSAKALI ASAHAN,Swasta,86,Kec. Pulo Bandring,25,4,1,3
Kab. Batubara,10260898,SLB NEGERI BATUBARA,Negeri,178,Kec. Air Putih,44,17,2,2
Kab. Dairi,10203614,SLB Negeri Sidikalang,Negeri,30,Kec. Sidikalang,9,11,1,0
Kab. Deli Serdang,69990053,SLB SWASTA SYAFIQ,Swasta,67,Kec. Hamparan Perak,7,3,1,0
Kab. Deli Serdang,10215081,SLB Negeri Deliserdang,Negeri,109,Kec. Lubuk Pakam,22,18,0,0
Kab. Deli Serdang,10262384,SLB C Karya Tulus,Swasta,0,Kec. Pancur Batu,0,0,0,0
Kab. Deli Serdang,69932260,SLB TUNAS HARAPAN MANDIRI,Swasta,130,Kec. Pancur Batu,15,15,2,0
Kab. Deli Serdang,10262359,SLB ABC MELATI AISYIAH DELISERDANG,Swasta,163,Kec. Percut Sei Tuan,29,10,3,7
Kab. Deli Serdang,69932257,SLB MUTIARA HATI,Swasta,0,Kec. Percut Sei Tuan,0,0,0,0
Kab. Deli Serdang,69983843,SLB NEGERI AUTIS SUMATERA UTARA,Negeri,131,Kec. Percut Sei Tuan,34,18,0,0
Kab. Deli Serdang,69996168,SLB PONDOK ANUGERAH,Swasta,0,Kec. Sunggal,0,0,0,0
Kab. Deli Serdang,10261252,SLB-A YAPENTRA,Swasta,50,Kec. Tanjung Morawa,12,12,0,0
Kab. Humbang Hasundutan,69979562,SLB NEGERI DOLOKSANGGUL,Negeri,77,Kec. Doloksanggul,20,11,0,0
Kab. Karo,10202097,SLB Negeri Berastagi,Negeri,62,Kec. Berastagi,24,6,0,0
Kab. Karo,10220440,SLB SWASTA YKPC GBKP ALPHA OMEGA KABANJAHE,Swasta,0,Kec. Kabanjahe,0,0,0,0
Kab. Karo,70052365,SLB Swasta Kabeta Bina Mandiri,Swasta,18,Kec. Kabanjahe,3,3,0,0
Kab. Labuhanbatu,10204862,SLB Negeri Rantauprapat,Negeri,100,Kec. Rantau Selatan,25,8,0,0
Kab. Labuhanbatu Utara,69957452,SLB NEGERI AEK KANOPAN,Negeri,106,Kec. Kualuh Selatan,33,19,0,0
Kab. Langkat,10201464,SLB Negeri Stabat,Negeri,190,Kec. Stabat,34,13,2,2
Kab. Mandailing Natal,10269080,SLB NEGERI MANDAILING NATAL,Negeri,98,Kec. Panyabungan,48,12,0,0
Kab. Mandailing Natal,70046572,SLB Swasta Cahaya Mandiri,Swasta,18,Kec. Siabu,6,5,0,0
Kab. Nias Barat,69976677,SLB NEGERI NIAS BARAT,Negeri,26,Kec. Lahomi,10,1,0,15
Kab. Padang Lawas utara,69786979,SLB NEGERI PADANG LAWAS UTARA,Negeri,80,Kec. Padang Bolak,16,7,1,2
Kab. Pakpak Bharat,10261795,SLB NEGERI SALAK,Negeri,0,Kec. Pergeteng-geteng Sengkut,0,0,0,0
Kab. Serdang Bedagai,70009590,SLB Swasta Kasih Ibu,Swasta,30,Kec. Dolok Masihul,20,6,0,0
Kab. Serdang Bedagai,60728467,SLB NEGERI SERDANG BEDAGAI,Negeri,112,Kec. Pegajahan,43,14,0,0
Kab. Simalungun,69901032,SLB TALENTA,Swasta,68,Kec. Bandar,12,4,0,0
Kab. Simalungun,70050306,SLB Kasih Ibu Pematang Kerasaan,Swasta,11,Kec. Bandar,10,6,0,0
Kab. Simalungun,10202319,SLB Negeri Simalungun,Negeri,55,Kec. Siantar,17,15,0,0
Kab. Tapanuli Selatan,69762642,SLB NEGERI ANGKOLA TIMUR,Negeri,73,Kec. Angkola Timur,17,11,1,0
Kab. Tapanuli Tengah,10260549,SLB Negeri Pinangsori,Negeri,43,Kec. Pinang Sori,8,15,0,0
Kab. Tapanuli Utara,10259180,SLBN SIBORONGBORONG,Negeri,74,Kec. Siborongborong,17,13,0,0
Kab. Toba,10214741,SLB Negeri Toba,Negeri,50,Kec. Lagu Boti,12,6,0,0
Kab. Toba,10214758,SLB PK HEPHATA,Swasta,0,Kec. Lagu Boti,0,0,0,0
Kota Binjai,69974237,SLB ISLAM TERPADU SAHABAT AL- QUR-AN,Swasta,0,Kec. Binjai Timur,0,0,0,0
Kota Binjai,70053423,SLB IT Anak Cerdas Mulia,Swasta,9,Kec. Binjai Timur,4,1,0,0
Kota Binjai,10211413,SLB Negeri 1 Binjai,Negeri,155,Kec. Binjai Utara,31,19,0,0
Kota Binjai,10260394,SLB NEGERI BINJAI,Negeri,198,Kec. Binjai Utara,47,9,0,0
Kota Gunungsitoli,69960580,SLB SWASTA YAPSI GUNUNGSITOLI,Swasta,40,Kec. Gunungsitoli,11,6,0,0
Kota Gunungsitoli,70028721,SLB Swasta Sasmi Gunungsitoli,Swasta,81,Kec. Gunungsitoli Idanoi,14,5,0,0
Kota Gunungsitoli,10258957,SLB NEGERI GUNUNGSITOLI,Negeri,77,Kec. Gunungsitoli Selatan,32,0,0,0
Kota Medan,10260281,SLB C MUZDALIFAH,Swasta,94,Kec. Medan Amplas,19,19,0,0
Kota Medan,10261798,SLB ABC TAMAN PENDIDIKAN ISLAM,Swasta,22,Kec. Medan Amplas,37,10,0,0
Kota Medan,10259460,SLB MARKUS MEDAN,Swasta,0,Kec. Medan Helvetia,0,0,0,0
Kota Medan,10259470,SLB-E NEGERI PEMBINA TINGKAT PROVINSI,Negeri,465,Kec. Medan Helvetia,67,64,56,6
Kota Medan,10259483,SLB-E AL AZHAR MEDAN,Swasta,45,Kec. Medan Johor,9,18,18,0
Kota Medan,10259483,SLB-E AL AZHAR MEDAN,Swasta,45,Kec. Medan Johor,9,18,18,0
Kota Medan,10259865,SLB-A KARYA MURNI,Swasta,0,Kec. Medan Johor,0,0,0,0
Kota Medan,10259452,SLB B KARYA MURNI,Swasta,159,Kec. Medan Kota,14,16,0,0
Kota Medan,10259518,SLB TUNAGRAHITA SANTA LUSIA,Swasta,72,Kec. Medan Kota,12,12,0,0
Kota Medan,69787519,SLB C ABDI KASIH,Swasta,51,Kec. Medan Labuhan,11,0,0,0
Kota Medan,70040831,SLB Swasta Mendengar Bicara,Swasta,15,Kec. Medan Sunggal,4,10,0,0
Kota Medan,10259464,SLB C YPAC MEDAN,Swasta,88,Kec. Medan Timur,19,14,0,0
Kota Medan,10259467,SLB D YPAC MEDAN,Swasta,30,Kec. Medan Timur,11,5,0,0
Kota Padangsidimpuan,69768148,UPT. SLB NEGERI PADANGSIDIMPUAN,Negeri,127,Kec. Hutaimbaru,17,10,2,3
Kota Padangsidimpuan,69974639,SLB Kumala Indah,Swasta,20,Kec. Padang Sidimpuan Tenggara,11,3,0,3
Kota Pematangsiantar,10260535,SLB Negeri Pematangsiantar,Negeri,150,Kec. Siantar Marihat,23,23,3,20
Kota Pematangsiantar,10212423,SLB SANTA LUSIA,Swasta,53,Kec. Siantar Marimbun,11,7,0,0
Kota Sibolga,10212096,SLB Negeri Sibolga,Negeri,65,Kec. Sibolga Selatan,29,11,0,5
Kota Tanjungbalai,10211993,SLB Negeri Tanjung Balai,Negeri,111,Kec. Tanjung Balai Selatan,21,9,9,0
Kota Tebing Tinggi,69886466,SLB SWASTA YAPSI TEBING TINGGI,Swasta,106,Kec. Bajenis,14,13,0,0
Kota Tebing Tinggi,69896658,SLB SWASTA KASIH IBU,Swasta,42,Kec. Padang Hilir,23,20,0,0
Kota Tebing Tinggi,10211532,SLB Negeri Tebing Tinggi,Negeri,111,Kec. Padang Hulu,33,9,0,0
